MVMinusBV,Portfolio_Name,Issuer_Name,Asset_Name,Position_ID,Commitment,Outstanding,BookValue,BVPrice,MarketValue,MarkPrice_MarkPrice,Asset_AssetDetail_Type,MVParity,CurrencyType_Identifier,Quantity,Asset_Primary IDAssetID_Name
"-2716.9536","PennantPark Credit Opportunities Fund IV Aggregator, LP","GAUGE ETE BLOCKER LLC","Common Equity","1374064","45282.56","45282.56","45282.56","1","42565.6064","0.94","138","42565.6064","USD","45282.56","1766"
"0","PennantPark Credit Opportunities Fund IV Aggregator, LP","GAUGE ETE BLOCKER LLC","Unsecured - Term Loan - Promissory Note","1374309","33453.4076025078","33453.4076","33453.4076","100","33453.4076","100","4","334.534076","USD","33453.4076025078","1794"
"50648.035744","PennantPark Credit Opportunities Fund IV Aggregator, LP","Gauge Loving Tan LP","Common Equity","1374190","271280.32","271280.32","271280.32","1","321928.355744","1.1867","138","321928.355744","USD","271280.32","1776"
"93686.7474000001","PennantPark Credit Opportunities Fund IV Aggregator, LP","GMP HILLS, LP","Common Equity","1375171","1040963.86","1040963.86","1040963.86","1","1134650.6074","1.09","138","1134650.6074","USD","1040963.86","1839"
"0","PennantPark Credit Opportunities Fund IV Aggregator, LP","Hills Distribution, Inc.","Delayed Draw Term Loan","1374657","2337764.72","2008352.9539","2008352.9539","100","2008352.9539","100","4","20083.529539","USD","2337764.72","LX219596"
"42888.6353263347","PennantPark Credit Opportunities Fund IV Aggregator, LP","Hills Distribution, Inc.","Initial Term Loan","1374665","3940000","3940000","3897111.36467367","98.9114559561844","3940000","100","4","39400","USD","3940000","LX219595"
"-177785.693619584","PennantPark Credit Opportunities Fund IV Aggregator, LP","HPA SPQ Aggregator, LP","Common Equity","1374142","499201.28","499201.28","499201.28","1","321415.586380416","0.6438597","138","321415.586380416","USD","499201.28","1763"
"0","PennantPark Credit Opportunities Fund IV Aggregator, LP","Infinity Home Services Holdco, Inc.","Closing Date Delayed Draw Term Loan","1373649","2384598.90208291","2384598.9031","2384598.9031","100","2384598.9031","100","4","23845.989031","USD","2384598.90208291","LX210066"
"56756.3869871274","PennantPark Credit Opportunities Fund IV Aggregator, LP","Infinity Home Services Holdco, Inc.","Closing Date Term Loan","1373653","4875000.01080656","4875000.0108","4818243.62381287","98.8357664233577","4875000.0108","100","4","48750.000108","USD","4875000.01080656","LX210065"
"387067.6719","PennantPark Credit Opportunities Fund IV Aggregator, LP","Infinity Home Services Holdco, Inc.","Common Equity","1373643","992481.21","992481.21","992481.21","1","1379548.8819","1.39","138","1379548.8819","USD","992481.21","1692"
"0","PennantPark Credit Opportunities Fund IV Aggregator, LP","Infinity Home Services Holdco, Inc.","Revolving Loan","1373646","1052631.58","263157.9003","263157.9003","100","263157.9003","100","4","2631.579003","USD","1052631.58","LX210067"
"1.45519152283669e-11","PennantPark Credit Opportunities Fund IV Aggregator, LP","Inventus Power, Inc.","1L RCF","1374169","508473.68","84745.6133","84745.6133","100","84745.6133","100","4","847.456133","USD","508473.68","LX213613"
"20864.5161022823","PennantPark Credit Opportunities Fund IV Aggregator, LP","Inventus Power, Inc.","Term Loan","1374163","4899999.99371785","4899999.9937","4879135.47759772","99.5741935483871","4899999.9937","100","4","48999.999937","USD","4899999.99371785","LX213612"
"4086500.1892","PennantPark Credit Opportunities Fund IV Aggregator, LP","JF Intermediate, LLC","Common Equity","1374637","242308","242308","242308","100","4328808.1892","1786.49","138","4328808.1892","USD","2423.08","1635"
"-102954.015474762","PennantPark Credit Opportunities Fund IV Aggregator, LP","LAV Gear Holdings, Inc.","Delayed Draw Term Loan Retired 07/31/2025","1374984","410175.360457218","410175.3605","410175.3605","100","307221.345025238","74.9","4","3072.21345025238","USD","410175.360457218","LX179864"
"16316.3928902615","PennantPark Credit Opportunities Fund IV Aggregator, LP","LAV Gear Holdings, Inc.","First Lien - Term Loan - 12th Amend. - Priority FOTL","1378591","56532.9869192877","56532.987","54349.8408395604","96.1382791191337","70666.2337298219","125","4","706.662337298219","USD","56532.9869192877","LX258942"
"-72008.6472953888","PennantPark Credit Opportunities Fund IV Aggregator, LP","LAV Gear Holdings, Inc.","Fourteenth Amendment Priority Term Loan","1379667","75823.2230136986","75823.223","72008.6472816902","94.9691195300143","-1.36986268444161e-05","","4","-1.36986268444161e-07","USD","75823.2230136986",""
"-204553.436746886","PennantPark Credit Opportunities Fund IV Aggregator, LP","LAV Gear Holdings, Inc.","Initial Incremental Term Loan","1374990","814953.931262495","814953.9313","814953.9313","100","610400.494553114","74.9","4","6104.00494553114","USD","814953.931262495","1891"
"-71586.7958865047","PennantPark Credit Opportunities Fund IV Aggregator, LP","LAV Gear Holdings, Inc.","Initial Term Loan Retired 07/31/2025","1374978","285206.358113565","285206.3581","285206.3581","100","213619.562213495","74.9","4","2136.19562213495","USD","285206.358113565","LX179863"
"-134788.686999153","PennantPark Credit Opportunities Fund IV Aggregator, LP","LAV Gear Holdings, Inc.","Second Amendment Incremental Term Loan Retired 07/31/2025","1374996","537006.721112163","537006.7211","537006.7211","100","402218.034100847","74.9","4","4022.18034100847","USD","537006.721112163","LX187859"
"693478.2635","PennantPark Credit Opportunities Fund IV Aggregator, LP","LJ Avalon, LP","Common Equity","1373727","1260869.57","1260869.57","1260869.57","1","1954347.8335","1.55","138","1954347.8335","USD","1260869.57","1698"
"31156.7012754297","PennantPark Credit Opportunities Fund IV Aggregator, LP","Loving Tan Intermediate II Inc. ","Closing Date Term Loan","1374075","4826778.14981577","4826778.15","4771487.55797549","98.8545031425026","4802644.25925092","99.5","4","48026.4425925092","USD","4826778.14981577","LX213391"
"-10789.0461057774","PennantPark Credit Opportunities Fund IV Aggregator, LP","Loving Tan Intermediate II Inc. ","First Lien - DDTL - DDTL 1","1376530","2157809.2211555","1161141.409","1161141.409","100","1150352.36289422","99.5","4","11503.5236289422","USD","2157809.2211555","2221"
"-2304.79414999997","PennantPark Credit Opportunities Fund IV Aggregator, LP","Loving Tan Intermediate II Inc. ","Revolving Loan","1374079","460958.83","153652.9433","153652.9433","100","151348.14915","99.5","4","1513.4814915","USD","460958.83","LX213392"
"-19084.8214418488","PennantPark Credit Opportunities Fund IV Aggregator, LP","LV Petroleom, LLC (2)","First Lien - Term Loan - Mortgage Bridge Loan Columbia","1379171","6160714.29","6160714.29","6118191.96854185","99.3097826086957","6099107.1471","99","4","60991.071471","USD","6160714.29","2488"
"-30535.7142945658","PennantPark Credit Opportunities Fund IV Aggregator, LP","LV Petroleom, LLC (2)","First Lien - Term Loan - Mortgage Bridge Loan Fultonville","1379170","9857142.86","9857142.86","9789107.14569457","99.3097826086957","9758571.4314","99","4","97585.714314","USD","9857142.86","2487"
"-21629.4642945658","PennantPark Credit Opportunities Fund IV Aggregator, LP","LV Petroleom, LLC (2)","First Lien - Term Loan - Mortgage Bridge Loan Shorter","1379172","6982142.86","6982142.86","6933950.89569457","99.3097826086957","6912321.4314","99","4","69123.214314","USD","6982142.86","2489"
"-10108.1081081079","PennantPark Credit Opportunities Fund IV Aggregator, LP","LV Petroleom, LLC (3)","First Lien - Term Loan - Mortgage Bridge Loan Savanna","1379333","5500000","5500000","5455108.10810811","99.1837837837838","5445000","99","4","54450","USD","5500000","2494"
"-49180.3278688528","PennantPark Credit Opportunities Fund IV Aggregator, LP","LV PETROLEUM, LLC","First Lien - Term Loan - Initial","1378914","10000000","10000000","9949180.32786885","99.4918032786885","9900000","99","4","99000","USD","10000000","2469"
"-44939.0923635531","PennantPark Credit Opportunities Fund IV Aggregator, LP","MAG DS Corp.","Initial Term Loan","1374030","10553891.4765259","10553891.4764","10176674.9097025","96.4258058978862","10131735.817339","96","4","101317.35817339","USD","10553891.4765259","LX187438"
"81931.8289424423","PennantPark Credit Opportunities Fund IV Aggregator, LP","Medina Health, LLC","Initial Term Loan","1374594","5826759.49699656","5826759.497","5759394.56680005","98.8438697318008","5841326.39574249","100.25","4","58413.2639574249","USD","5826759.49699656","LX218963"
"1898.73417500002","PennantPark Credit Opportunities Fund IV Aggregator, LP","Medina Health, LLC","Revolving Loan","1374600","759493.67","0","0","100","1898.73417500002","100.25","4","18.9873417500002","USD","759493.67","LX218965"
